Date/Time,EMS:Temperatura Habitacion [C](TimeStep),EMS:Temperatura exterior [C](TimeStep),M_SC:Surface Inside Face Temperature [C](TimeStep),M_SC:Surface Outside Face Temperature [C](TimeStep),M_SC:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](TimeStep),M_SC:Surface Inside Face Convection Heat Gain Rate [W](TimeStep),M_SC:Surface Inside Face Conduction Heat Transfer Rate [W](TimeStep),H_M2:Surface Inside Face Temperature [C](TimeStep),H_M2:Surface Outside Face Temperature [C](TimeStep),H_M2:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](TimeStep),H_M2:Surface Inside Face Convection Heat Gain Rate [W](TimeStep),H_M2:Surface Inside Face Conduction Heat Transfer Rate [W](TimeStep),M_SC2:Surface Inside Face Temperature [C](TimeStep),M_SC2:Surface Outside Face Temperature [C](TimeStep),M_SC2:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](TimeStep),M_SC2:Surface Inside Face Convection Heat Gain Rate [W](TimeStep),M_SC2:Surface Inside Face Conduction Heat Transfer Rate [W](TimeStep),TZ_CLIMA:Zone Mean Air Temperature [C](TimeStep),TZ_GUARDA:Zone Mean Air Temperature [C](TimeStep),TZ_HABITACION:Zone Mean Air Temperature [C](TimeStep) 
 01/27  03:26:00,18.67207050301414,20.4,19.708287993418595,18.697444474352726,13.0,41.148563847514598,-1.4691789348614422,18.646217566842905,18.64616027210472,6.6,0.7808000370692302,-13.084782698494675,18.697444474352726,19.708287993418595,6.6,-0.7663345327794017,1.4764922541031125,20.4,18.672070801401359,18.672020967240817 
 01/27  03:27:00,18.672020967240817,20.4,19.708286569582716,18.697396123975606,13.0,41.14864854866339,-1.4692473690054842,18.646166865469394,18.646109572534095,6.6,0.7808352400597853,-13.084371200470584,18.697396123975606,19.708286569582716,6.6,-0.7663703336414056,1.4765603839705633,20.4,18.672021265606558,18.671971433515045 
 01/27  03:28:00,18.671971433515045,20.4,19.708285145818239,18.69734777559788,13.0,41.1487332455646,-1.4693158003407015,18.646116166190749,18.646058875058338,6.6,0.7808704416214579,-13.08395970183678,18.69734777559788,19.708285145818239,6.6,-0.7664061330489901,1.4766285110362128,20.39999999999999,18.671971731859317,18.671921901836737 
 01/27  03:29:00,18.671921901836737,20.4,19.708283722125218,18.697299429219407,13.0,41.14881793821462,-1.4693842288673869,18.646065469006954,18.64600817967729,6.6,0.7809056417519946,-13.083548235136835,18.697299429219407,19.708283722125218,6.6,-0.7664419310004382,1.4766966353006459,20.400000000000003,18.67192220015954,18.6718723722058 
 01/27  03:30:00,18.6718723722058,20.4,19.708282298503506,18.697251084840155,13.0,41.14890262662361,-1.469452654583427,18.64601477391786,18.645957486390939,6.6,0.7809408404531121,-13.083136769507526,18.697251084840155,19.708282298503506,6.6,-0.7664777274976816,1.4767647567626925,20.399999999999996,18.671872670507143,18.671822844622154 
 01/27  03:31:00,18.671822844622154,20.4,19.70828087495322,18.69720274246,13.0,41.14898731078247,-1.4695210774903174,18.645964080923453,18.645906795199129,6.6,0.7809760377226644,-13.08272533749034,18.69720274246,19.70828087495322,6.6,-0.7665135225395399,1.4768328754228726,20.4,18.671823142902029,18.671773319085714 
 01/27  03:32:00,18.671773319085714,20.4,19.708279451474288,18.69715440207889,13.0,41.14907199069756,-1.4695894975861399,18.64591339002357,18.645856106101854,6.6,0.7810112335632269,-13.082313902893848,18.69715440207889,19.708279451474288,6.6,-0.766549316126764,1.4769009912810885,20.39999999999999,18.67177361734412,18.671723795596394 
 01/27  03:33:00,18.671723795596394,20.4,19.708278028066894,18.69710606369672,13.0,41.14915666635617,-1.469657914871707,18.645862701218215,18.64580541909894,6.6,0.7810464279720099,-13.081902505187975,18.69710606369672,19.708278028066894,6.6,-0.7665851082588177,1.476969104338706,20.400000000000003,18.671724093833345,18.671674274154108 
 01/27  03:34:00,18.671674274154108,20.4,19.708276604730849,18.697057727313447,13.0,41.14924133777143,-1.4697263293421743,18.64581201450721,18.645754734190406,6.6,0.7810816209516954,-13.081491102849965,18.697057727313447,19.708276604730849,6.6,-0.7666208989370955,1.4770372145964733,20.4,18.671674572369594,18.671624754758779 
 01/27  03:35:00,18.671624754758779,20.4,19.70827518146621,18.697009392929009,13.0,41.14932600493803,-1.4697947409967292,18.64576132989057,18.645704051376066,6.6,0.7811168124997086,-13.081079737483729,18.697009392929009,19.70827518146621,6.6,-0.766656688162027,1.4771053220557229,20.4,18.67162505295281,18.671575237410324 
 01/27  03:36:00,18.671575237410324,20.4,19.70827375827315,18.696961060543364,13.0,41.1494106678467,-1.4698631498365092,18.64571064736811,18.64565337065593,6.6,0.7811520026189464,-13.08066836809923,18.696961060543364,19.70827375827315,6.6,-0.7666924759347922,1.4771734267176582,20.400000000000003,18.671575535582897,18.671525722108667 
 01/27  03:37:00,18.671525722108667,20.4,19.708272335151464,18.696912730156457,13.0,41.14949532650989,-1.4699315558588482,18.645659966939843,18.64560269202982,6.6,0.7811871913067264,-13.080257036299337,18.696912730156457,19.708272335151464,6.6,-0.7667282622561422,1.4772415285832868,20.399999999999996,18.67152602025979,18.671476208853738 
 01/27  03:38:00,18.671476208853738,20.4,19.708270912101317,18.69686440176822,13.0,41.14957998091661,-1.4699999590686235,18.645609288605589,18.645552015497747,6.6,0.7812223785664824,-13.079845698964187,18.69686440176822,19.708270912101317,6.6,-0.7667640471260772,1.4773096276532268,20.4,18.671476506983404,18.67142669764547 
 01/27  03:39:00,18.67142669764547,20.4,19.708269489122505,18.696816075378594,13.0,41.149664631080408,-1.4700683594666156,18.645558612365364,18.645501341059533,6.6,0.7812575643956387,-13.079434399827516,18.696816075378594,19.708269489122505,6.6,-0.7667998305447042,1.4773777239279007,20.4,18.67142699575368,18.671377188483786 
 01/27  03:40:00,18.671377188483786,20.4,19.708268066215095,18.696767750987495,13.0,41.14974927699639,-1.4701367570573112,18.645507938218988,18.64545066871519,6.6,0.7812927487973074,-13.079023096830732,18.696767750987495,19.708268066215095,6.6,-0.7668356125120234,1.477445817407894,20.400000000000003,18.671377486570554,18.67132768136861 
 01/27  03:41:00,18.67132768136861,20.4,19.708266643379049,18.696719428594883,13.0,41.149833918667329,-1.4702051518416209,18.645457266166465,18.64539999846454,6.6,0.7813279317691277,-13.078611829448958,18.696719428594883,19.708266643379049,6.6,-0.7668713930290004,1.4775139080929463,20.4,18.671327979433927,18.671278176299876 
 01/27  03:42:00,18.671278176299876,20.4,19.708265220614419,18.696671108200666,13.0,41.1499185560894,-1.4702735438191546,18.645406596207626,18.64534933030759,6.6,0.7813631133141041,-13.078200559354702,18.696671108200666,19.708265220614419,6.6,-0.7669071720948842,1.4775819959829928,20.4,18.67127847434375,18.671228673277505 
 01/27  03:43:00,18.671228673277505,20.4,19.708263797921039,18.69662278980472,13.0,41.15000318927319,-1.4703419329855876,18.64535592834247,18.645298664244164,6.6,0.7813982934298759,-13.07778932548829,18.69662278980472,19.708263797921039,6.6,-0.7669429497083872,1.477650081078033,20.400000000000003,18.67122897129993,18.671179172301416 
 01/27  03:44:00,18.671179172301416,20.4,19.708262375299137,18.69657447340702,13.0,41.150087818205168,-1.4704103193427734,18.645305262570834,18.64524800027427,6.6,0.7814334721191256,-13.07737808685864,18.69657447340702,19.708262375299137,6.6,-0.7669787258710116,1.4777181633771249,20.4,18.6711794703024,18.67112967337152 
 01/27  03:45:00,18.67112967337152,20.4,19.708260952748529,18.696526159007438,13.0,41.15017244289547,-1.470478702887688,18.645254598892714,18.645197338397734,6.6,0.7814686493791708,-13.07696688666886,18.696526159007438,19.708260952748529,6.6,-0.7670145005816842,1.4777862428807554,20.399999999999996,18.67112997135106,18.671080176487746 
 01/27  03:46:00,18.671080176487746,20.4,19.708259530269286,18.6964778466059,13.0,41.150257063340507,-1.4705470836216322,18.645203937307938,18.64514667861456,6.6,0.7815038252129085,-13.076555681263244,18.6964778466059,19.708259530269286,6.6,-0.7670502738405126,1.4778543195886973,20.399999999999996,18.671080474445846,18.671030681649996 
 01/27  03:47:00,18.671030681649996,20.4,19.708258107861448,18.696429536202318,13.0,41.15034167953796,-1.470615461544736,18.64515327781651,18.645096020924578,6.6,0.7815389996173344,-13.076144512779459,18.696429536202318,19.708258107861448,6.6,-0.7670860456473893,1.4779223935007878,20.400000000000003,18.671030979586666,18.6709811888582 
 01/27  03:48:00,18.6709811888582,20.4,19.708256685525059,18.696381227796608,13.0,41.150426291485498,-1.4706838366567066,18.64510262041827,18.645045365327787,6.6,0.7815741725953456,-13.075733341823538,18.696381227796608,19.708256685525059,6.6,-0.7671218160022071,1.477990464617027,20.4,18.670981486773429,18.67093169811227 
 01/27  03:49:00,18.67093169811227,20.4,19.70825526326005,18.696332921388689,13.0,41.15051089918608,-1.470752208956211,18.645051965113209,18.644994711824027,6.6,0.7816093441444739,-13.075322204672224,18.696332921388689,19.70825526326005,6.6,-0.7671575849050732,1.4780585329379677,20.4,18.670931996006059,18.670882209412125 
