Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),THERMAL ZONE 1 THERMAL ZONE:Zone Mean Air Temperature [C](TimeStep) 
 01/25  03:30:00,20.4,20.401299819018289 
 01/25  03:31:00,20.4,20.401299819019035 
 01/25  03:32:00,20.4,20.401299819019774 
 01/25  03:33:00,20.4,20.401299819020495 
 01/25  03:34:00,20.4,20.40129981902118 
 01/25  03:35:00,20.4,20.401299819021824 
 01/25  03:36:00,20.4,20.40129981902241 
 01/25  03:37:00,20.4,20.40129981902293 
 01/25  03:38:00,20.4,20.40129981902339 
 01/25  03:39:00,20.4,20.40129981902378 
 01/25  03:40:00,20.4,20.40129981902411 
 01/25  03:41:00,20.4,20.401299819024385 
 01/25  03:42:00,20.4,20.401299819024606 
 01/25  03:43:00,20.4,20.401299819024798 
 01/25  03:44:00,20.4,20.40129981902496 
 01/25  03:45:00,20.4,20.40129981902511 
 01/25  03:46:00,20.4,20.40129981902524 
 01/25  03:47:00,20.4,20.40129981902536 
 01/25  03:48:00,20.4,20.401299819025465 
 01/25  03:49:00,20.4,20.401299819025537 
 01/25  03:50:00,20.4,20.401299819025568 
 01/25  03:51:00,20.4,20.401299819025558 
 01/25  03:52:00,20.4,20.401299819025505 
 01/25  03:53:00,20.4,20.401299819025398 
 01/25  03:54:00,20.4,20.40129981902524 
 01/25  03:55:00,20.4,20.40129981902504 
 01/25  03:56:00,20.4,20.4012998190248 
 01/25  03:57:00,20.4,20.401299819024524 
 01/25  03:58:00,20.4,20.401299819024208 
 01/25  03:59:00,20.4,20.40129981902386 
 01/25  04:00:00,20.4,20.40129981902347 
 01/25  04:01:00,20.4,20.401299819023046 
 01/25  04:02:00,20.4,20.401299819022574 
 01/25  04:03:00,20.4,20.401299819022055 
 01/25  04:04:00,20.4,20.40129981902148 
 01/25  04:05:00,20.4,20.401299819020858 
 01/25  04:06:00,20.4,20.401299819020175 
 01/25  04:07:00,20.4,20.401299819019444 
 01/25  04:08:00,20.4,20.401299819018666 
 01/25  04:09:00,20.4,20.401299819017859 
 01/25  04:10:00,20.4,20.40129981901703 
 01/25  04:11:00,20.4,20.401299819016196 
 01/25  04:12:00,20.4,20.401299819015358 
 01/25  04:13:00,20.4,20.401299819014527 
 01/25  04:14:00,20.4,20.401299819013706 
 01/25  04:15:00,20.4,20.4012998190129 
 01/25  04:16:00,20.4,20.4012998190121 
 01/25  04:17:00,20.4,20.401299819011308 
 01/25  04:18:00,20.4,20.401299819010519 
 01/25  04:19:00,20.4,20.401299819009727 
 01/25  04:20:00,20.4,20.401299819008913 
 01/25  04:21:00,20.4,20.40129981900806 
 01/25  04:22:00,20.4,20.40129981900716 
 01/25  04:23:00,20.4,20.401299819006213 
 01/25  04:24:00,20.4,20.401299819005215 
 01/25  04:25:00,20.4,20.401299819004174 
 01/25  04:26:00,20.4,20.401299819003098 
 01/25  04:27:00,20.4,20.401299819002 
 01/25  04:28:00,20.4,20.40129981900088 
 01/25  04:29:00,20.4,20.40129981899975 
 01/25  04:30:00,20.4,20.401299818998628 
 01/25  04:31:00,20.4,20.401299818997527 
 01/25  04:32:00,20.4,20.40129981899645 
 01/25  04:33:00,20.4,20.401299818995413 
 01/25  04:34:00,20.4,20.401299818994415 
 01/25  04:35:00,20.4,20.401299818993456 
 01/25  04:36:00,20.4,20.401299818992539 
 01/25  04:37:00,20.4,20.401299818991654 
 01/25  04:38:00,20.4,20.4012998189908 
 01/25  04:39:00,20.4,20.40129981898998 
 01/25  04:40:00,20.4,20.401299818989189 
 01/25  04:41:00,20.4,20.401299818988418 
 01/25  04:42:00,20.4,20.401299818987668 
 01/25  04:43:00,20.4,20.40129981898694 
 01/25  04:44:00,20.4,20.401299818986219 
 01/25  04:45:00,20.4,20.401299818985508 
 01/25  04:46:00,20.4,20.401299818984798 
 01/25  04:47:00,20.4,20.40129981898409 
 01/25  04:48:00,20.4,20.401299818983384 
 01/25  04:49:00,20.4,20.40129981898267 
 01/25  04:50:00,20.4,20.401299818981959 
 01/25  04:51:00,20.4,20.40129981898124 
 01/25  04:52:00,20.4,20.401299818980506 
 01/25  04:53:00,20.4,20.401299818979756 
 01/25  04:54:00,20.4,20.401299818979 
 01/25  04:55:00,20.4,20.401299818978239 
 01/25  04:56:00,20.4,20.401299818977479 
 01/25  04:57:00,20.4,20.401299818976726 
 01/25  04:58:00,20.4,20.40129981897598 
 01/25  04:59:00,20.4,20.40129981897524 
 01/25  05:00:00,20.4,20.401299818974516 
 01/25  05:01:00,20.4,20.401299818973809 
 01/25  05:02:00,20.4,20.401299818973123 
 01/25  05:03:00,20.4,20.40129981897246 
 01/25  05:04:00,20.4,20.401299818971827 
 01/25  05:05:00,20.4,20.401299818971226 
 01/25  05:06:00,20.4,20.401299818970654 
 01/25  05:07:00,20.4,20.401299818970107 
 01/25  05:08:00,20.4,20.40129981896959 
 01/25  05:09:00,20.4,20.401299818969109 
 01/25  05:10:00,20.4,20.40129981896865 
 01/25  05:11:00,20.4,20.401299818968213 
 01/25  05:12:00,20.4,20.401299818967808 
 01/25  05:13:00,20.4,20.401299818967439 
 01/25  05:14:00,20.4,20.401299818967105 
 01/25  05:15:00,20.4,20.40129981896681 
 01/25  05:16:00,20.4,20.401299818966558 
 01/25  05:17:00,20.4,20.401299818966348 
 01/25  05:18:00,20.4,20.401299818966188 
 01/25  05:19:00,20.4,20.401299818966089 
 01/25  05:20:00,20.4,20.40129981896604 
 01/25  05:21:00,20.4,20.401299818966057 
 01/25  05:22:00,20.4,20.401299818966128 
 01/25  05:23:00,20.4,20.401299818966259 
 01/25  05:24:00,20.4,20.401299818966437 
 01/25  05:25:00,20.4,20.40129981896666 
 01/25  05:26:00,20.4,20.401299818966927 
 01/25  05:27:00,20.4,20.401299818967229 
 01/25  05:28:00,20.4,20.401299818967556 
 01/25  05:29:00,20.4,20.401299818967904 
 01/25  05:30:00,20.4,20.40129981896827 
 01/25  05:31:00,20.4,20.401299818968647 
 01/25  05:32:00,20.4,20.40129981896904 
 01/25  05:33:00,20.4,20.401299818969464 
 01/25  05:34:00,20.4,20.40129981896992 
 01/25  05:35:00,20.4,20.40129981897042 
 01/25  05:36:00,20.4,20.40129981897097 
 01/25  05:37:00,20.4,20.40129981897157 
 01/25  05:38:00,20.4,20.40129981897223 
 01/25  05:39:00,20.4,20.40129981897295 
 01/25  05:40:00,20.4,20.40129981897373 
 01/25  05:41:00,20.4,20.40129981897456 
 01/25  05:42:00,20.4,20.40129981897544 
 01/25  05:43:00,20.4,20.401299818976356 
 01/25  05:44:00,20.4,20.401299818977305 
 01/25  05:45:00,20.4,20.40129981897827 
 01/25  05:46:00,20.4,20.401299818979248 
 01/25  05:47:00,20.4,20.401299818980236 
 01/25  05:48:00,20.4,20.40129981898122 
 01/25  05:49:00,20.4,20.401299818982193 
 01/25  05:50:00,20.4,20.401299818983138 
 01/25  05:51:00,20.4,20.40129981898406 
 01/25  05:52:00,20.4,20.401299818984947 
 01/25  05:53:00,20.4,20.401299818985778 
 01/25  05:54:00,20.4,20.40129981898655 
 01/25  05:55:00,20.4,20.401299818987267 
 01/25  05:56:00,20.4,20.401299818987917 
 01/25  05:57:00,20.4,20.401299818988507 
 01/25  05:58:00,20.4,20.401299818989025 
 01/25  05:59:00,20.4,20.401299818989466 
 01/25  06:00:00,20.4,20.401299818989828 
 01/25  06:01:00,20.4,20.4012998189901 
 01/25  06:02:00,20.4,20.401299818990286 
 01/25  06:03:00,20.4,20.401299818990375 
 01/25  06:04:00,20.4,20.40129981899036 
 01/25  06:05:00,20.4,20.401299818990247 
 01/25  06:06:00,20.4,20.401299818990038 
 01/25  06:07:00,20.4,20.401299818989725 
 01/25  06:08:00,20.4,20.401299818989313 
 01/25  06:09:00,20.4,20.401299818988816 
 01/25  06:10:00,20.4,20.401299818988237 
 01/25  06:11:00,20.4,20.40129981898759 
 01/25  06:12:00,20.4,20.401299818986894 
