Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),THERMAL ZONE 1:Zone Mean Air Temperature [C](TimeStep) 
 01/25  00:43:00,20.4,20.403248195749627 
 01/25  00:44:00,20.4,20.403248195749236 
 01/25  00:45:00,20.4,20.40324819574879 
 01/25  00:46:00,20.4,20.40324819574829 
 01/25  00:47:00,20.4,20.403248195747734 
 01/25  00:48:00,20.4,20.40324819574713 
 01/25  00:49:00,20.4,20.403248195746487 
 01/25  00:50:00,20.4,20.403248195745804 
 01/25  00:51:00,20.4,20.403248195745083 
 01/25  00:52:00,20.4,20.403248195744334 
 01/25  00:53:00,20.4,20.40324819574356 
 01/25  00:54:00,20.4,20.403248195742785 
 01/25  00:55:00,20.4,20.403248195742007 
 01/25  00:56:00,20.4,20.40324819574124 
 01/25  00:57:00,20.4,20.403248195740514 
 01/25  00:58:00,20.4,20.403248195739818 
 01/25  00:59:00,20.4,20.403248195739164 
 01/25  01:00:00,20.4,20.403248195738557 
 01/25  01:01:00,20.4,20.403248195737996 
 01/25  01:02:00,20.4,20.40324819573746 
 01/25  01:03:00,20.4,20.403248195736958 
 01/25  01:04:00,20.4,20.40324819573648 
 01/25  01:05:00,20.4,20.40324819573603 
 01/25  01:06:00,20.4,20.403248195735605 
 01/25  01:07:00,20.4,20.40324819573521 
 01/25  01:08:00,20.4,20.403248195734844 
 01/25  01:09:00,20.4,20.403248195734507 
 01/25  01:10:00,20.4,20.403248195734205 
 01/25  01:11:00,20.4,20.40324819573393 
 01/25  01:12:00,20.4,20.403248195733675 
 01/25  01:13:00,20.4,20.40324819573343 
 01/25  01:14:00,20.4,20.403248195733178 
 01/25  01:15:00,20.4,20.403248195732887 
 01/25  01:16:00,20.4,20.403248195732549 
 01/25  01:17:00,20.4,20.40324819573215 
 01/25  01:18:00,20.4,20.40324819573168 
 01/25  01:19:00,20.4,20.40324819573113 
 01/25  01:20:00,20.4,20.4032481957305 
 01/25  01:21:00,20.4,20.403248195729799 
 01/25  01:22:00,20.4,20.40324819572903 
 01/25  01:23:00,20.4,20.403248195728219 
 01/25  01:24:00,20.4,20.40324819572738 
 01/25  01:25:00,20.4,20.403248195726524 
 01/25  01:26:00,20.4,20.40324819572565 
 01/25  01:27:00,20.4,20.403248195724755 
 01/25  01:28:00,20.4,20.403248195723845 
 01/25  01:29:00,20.4,20.40324819572293 
 01/25  01:30:00,20.4,20.403248195722019 
 01/25  01:31:00,20.4,20.40324819572111 
 01/25  01:32:00,20.4,20.403248195720204 
 01/25  01:33:00,20.4,20.403248195719308 
 01/25  01:34:00,20.4,20.403248195718427 
 01/25  01:35:00,20.4,20.40324819571756 
 01/25  01:36:00,20.4,20.403248195716715 
 01/25  01:37:00,20.4,20.403248195715898 
 01/25  01:38:00,20.4,20.403248195715116 
 01/25  01:39:00,20.4,20.40324819571437 
 01/25  01:40:00,20.4,20.403248195713656 
 01/25  01:41:00,20.4,20.403248195712974 
 01/25  01:42:00,20.4,20.40324819571231 
 01/25  01:43:00,20.4,20.403248195711674 
 01/25  01:44:00,20.4,20.40324819571104 
 01/25  01:45:00,20.4,20.403248195710409 
 01/25  01:46:00,20.4,20.403248195709776 
 01/25  01:47:00,20.4,20.40324819570915 
 01/25  01:48:00,20.4,20.40324819570853 
 01/25  01:49:00,20.4,20.40324819570792 
 01/25  01:50:00,20.4,20.403248195707329 
 01/25  01:51:00,20.4,20.403248195706757 
 01/25  01:52:00,20.4,20.40324819570622 
 01/25  01:53:00,20.4,20.403248195705719 
 01/25  01:54:00,20.4,20.40324819570526 
 01/25  01:55:00,20.4,20.403248195704856 
 01/25  01:56:00,20.4,20.403248195704518 
 01/25  01:57:00,20.4,20.403248195704259 
 01/25  01:58:00,20.4,20.403248195704088 
 01/25  01:59:00,20.4,20.403248195704014 
