Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),SURFACE 2:Surface Inside Face Temperature [C](TimeStep),SURFACE 2:Surface Outside Face Temperature [C](TimeStep),THERMAL ZONE 1 THERMAL ZONE:Zone Mean Air Temperature [C](TimeStep) 
 01/25  01:23:00,20.4,22.252869570987993,20.445535246622818,22.34 
 01/25  01:24:00,20.4,22.252869571017435,20.445535246657958,22.339999999999996 
 01/25  01:25:00,20.4,22.252869571039476,20.445535246690703,22.339999999999996 
 01/25  01:26:00,20.4,22.252869571054447,20.445535246721235,22.339999999999996 
 01/25  01:27:00,20.4,22.252869571063144,20.445535246749824,22.34 
 01/25  01:28:00,20.4,22.25286957106684,20.445535246776764,22.339999999999996 
 01/25  01:29:00,20.4,22.25286957106727,20.44553524680231,22.339999999999996 
 01/25  01:30:00,20.4,22.252869571066498,20.445535246826605,22.339999999999996 
 01/25  01:31:00,20.4,22.252869571066736,20.445535246849705,22.339999999999996 
 01/25  01:32:00,20.4,22.25286957107003,20.445535246871557,22.34 
 01/25  01:33:00,20.4,22.252869571077955,20.445535246892003,22.339999999999996 
 01/25  01:34:00,20.4,22.25286957109137,20.445535246910758,22.339999999999996 
 01/25  01:35:00,20.4,22.252869571110285,20.445535246927374,22.34 
 01/25  01:36:00,20.4,22.25286957113392,20.445535246941265,22.339999999999996 
 01/25  01:37:00,20.4,22.252869571160982,20.44553524695174,22.339999999999993 
 01/25  01:38:00,20.4,22.252869571189976,20.445535246958052,22.339999999999993 
 01/25  01:39:00,20.4,22.252869571219602,20.445535246959544,22.34 
 01/25  01:40:00,20.4,22.25286957124899,20.445535246955746,22.339999999999996 
 01/25  01:41:00,20.4,22.252869571277756,20.4455352469465,22.339999999999996 
 01/25  01:42:00,20.4,22.25286957130589,20.44553524693195,22.34 
 01/25  01:43:00,20.4,22.252869571333537,20.44553524691256,22.339999999999996 
 01/25  01:44:00,20.4,22.2528695713608,20.445535246889033,22.339999999999996 
 01/25  01:45:00,20.4,22.252869571387716,20.44553524686223,22.339999999999996 
 01/25  01:46:00,20.4,22.252869571414234,20.445535246833103,22.339999999999996 
 01/25  01:47:00,20.4,22.252869571440286,20.445535246802585,22.339999999999996 
 01/25  01:48:00,20.4,22.252869571465748,20.445535246771538,22.339999999999996 
 01/25  01:49:00,20.4,22.25286957149046,20.44553524674063,22.339999999999996 
 01/25  01:50:00,20.4,22.2528695715142,20.445535246710346,22.34 
 01/25  01:51:00,20.4,22.252869571536774,20.445535246680993,22.339999999999996 
 01/25  01:52:00,20.4,22.252869571558016,20.44553524665271,22.339999999999996 
 01/25  01:53:00,20.4,22.252869571577843,20.445535246625482,22.339999999999996 
 01/25  01:54:00,20.4,22.25286957159622,20.445535246599192,22.34 
 01/25  01:55:00,20.4,22.25286957161315,20.445535246573716,22.34 
 01/25  01:56:00,20.4,22.252869571628587,20.44553524654894,22.34 
 01/25  01:57:00,20.4,22.252869571642492,20.44553524652482,22.339999999999996 
 01/25  01:58:00,20.4,22.252869571654863,20.445535246501425,22.339999999999996 
 01/25  01:59:00,20.4,22.25286957166585,20.445535246478943,22.339999999999996 
 01/25  02:00:00,20.4,22.25286957167586,20.44553524645774,22.34 
 01/25  02:01:00,20.4,22.252869571685533,20.445535246438325,22.339999999999996 
 01/25  02:02:00,20.4,22.252869571695637,20.445535246421336,22.339999999999996 
 01/25  02:03:00,20.4,22.252869571706878,20.44553524640751,22.34 
 01/25  02:04:00,20.4,22.252869571719735,20.445535246397604,22.34 
 01/25  02:05:00,20.4,22.252869571734454,20.445535246392332,22.34 
 01/25  02:06:00,20.4,22.2528695717511,20.44553524639231,22.339999999999996 
 01/25  02:07:00,20.4,22.2528695717696,20.44553524639804,22.34 
 01/25  02:08:00,20.4,22.252869571789827,20.44553524640986,22.339999999999996 
 01/25  02:09:00,20.4,22.252869571811555,20.445535246428012,22.34 
 01/25  02:10:00,20.4,22.25286957183444,20.44553524645259,22.34 
 01/25  02:11:00,20.4,22.252869571858003,20.44553524648355,22.339999999999993 
 01/25  02:12:00,20.4,22.252869571881664,20.44553524652067,22.340000000000003 
 01/25  02:13:00,20.4,22.25286957190482,20.44553524656353,22.34 
 01/25  02:14:00,20.4,22.25286957192691,20.445535246611517,22.340000000000003 
 01/25  02:15:00,20.4,22.252869571947517,20.445535246663844,22.34 
 01/25  02:16:00,20.4,22.25286957196633,20.445535246719512,22.339999999999996 
 01/25  02:17:00,20.4,22.25286957198319,20.445535246777325,22.339999999999996 
 01/25  02:18:00,20.4,22.252869571998126,20.445535246835952,22.34 
 01/25  02:19:00,20.4,22.252869572011427,20.445535246893993,22.339999999999996 
 01/25  02:20:00,20.4,22.252869572023656,20.445535246950122,22.339999999999993 
 01/25  02:21:00,20.4,22.252869572035674,20.445535247003235,22.339999999999996 
 01/25  02:22:00,20.4,22.252869572048635,20.4455352470526,22.34 
 01/25  02:23:00,20.4,22.25286957206389,20.445535247097947,22.339999999999996 
 01/25  02:24:00,20.4,22.252869572082826,20.44553524713938,22.339999999999996 
 01/25  02:25:00,20.4,22.252869572106665,20.445535247177215,22.339999999999996 
 01/25  02:26:00,20.4,22.25286957213627,20.445535247211772,22.34 
 01/25  02:27:00,20.4,22.252869572171996,20.445535247243157,22.34 
 01/25  02:28:00,20.4,22.252869572213598,20.44553524727117,22.34 
 01/25  02:29:00,20.4,22.252869572260202,20.44553524729531,22.339999999999993 
 01/25  02:30:00,20.4,22.252869572310345,20.44553524731494,22.339999999999996 
 01/25  02:31:00,20.4,22.252869572362137,20.445535247329442,22.34 
 01/25  02:32:00,20.4,22.252869572413516,20.445535247338395,22.339999999999996 
 01/25  02:33:00,20.4,22.25286957246247,20.445535247341653,22.34 
