Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),SURFACE 2:Surface Inside Face Temperature [C](TimeStep),SURFACE 2:Surface Outside Face Temperature [C](TimeStep),THERMAL ZONE 1 THERMAL ZONE:Zone Mean Air Temperature [C](TimeStep) 
 01/25  00:28:00,20.4,22.252869557314202,20.445535271849316,22.339999999999996 
 01/25  00:29:00,20.4,22.25286955731434,20.44553527184921,22.339999999999996 
 01/25  00:30:00,20.4,22.25286955731443,20.44553527184914,22.34 
 01/25  00:31:00,20.4,22.252869557314483,20.4455352718491,22.339999999999996 
 01/25  00:32:00,20.4,22.252869557314536,20.4455352718491,22.339999999999996 
 01/25  00:33:00,20.4,22.252869557314597,20.445535271849135,22.339999999999996 
 01/25  00:34:00,20.4,22.252869557314668,20.44553527184919,22.34 
 01/25  00:35:00,20.4,22.252869557314764,20.44553527184928,22.339999999999996 
 01/25  00:36:00,20.4,22.252869557314877,20.44553527184939,22.339999999999996 
 01/25  00:37:00,20.4,22.25286955731502,20.445535271849497,22.339999999999996 
 01/25  00:38:00,20.4,22.2528695573152,20.44553527184959,22.339999999999996 
 01/25  00:39:00,20.4,22.252869557315428,20.44553527184964,22.34 
 01/25  00:40:00,20.4,22.25286955731571,20.44553527184964,22.339999999999996 
 01/25  00:41:00,20.4,22.25286955731606,20.44553527184959,22.34 
 01/25  00:42:00,20.4,22.2528695573165,20.445535271849486,22.339999999999996 
 01/25  00:43:00,20.4,22.25286955731703,20.445535271849348,22.339999999999996 
 01/25  00:44:00,20.4,22.25286955731763,20.44553527184917,22.339999999999996 
 01/25  00:45:00,20.4,22.25286955731826,20.445535271848964,22.339999999999996 
 01/25  00:46:00,20.4,22.252869557318874,20.44553527184874,22.339999999999996 
 01/25  00:47:00,20.4,22.252869557319432,20.445535271848506,22.34 
 01/25  00:48:00,20.4,22.252869557319922,20.445535271848275,22.339999999999996 
 01/25  00:49:00,20.4,22.25286955732036,20.44553527184807,22.339999999999996 
 01/25  00:50:00,20.4,22.252869557320754,20.44553527184791,22.339999999999996 
 01/25  00:51:00,20.4,22.25286955732114,20.445535271847813,22.34 
 01/25  00:52:00,20.4,22.25286955732153,20.4455352718478,22.339999999999996 
 01/25  00:53:00,20.4,22.252869557321926,20.445535271847863,22.339999999999996 
 01/25  00:54:00,20.4,22.252869557322338,20.445535271848005,22.339999999999996 
 01/25  00:55:00,20.4,22.25286955732275,20.445535271848197,22.339999999999996 
 01/25  00:56:00,20.4,22.25286955732313,20.4455352718484,22.339999999999996 
 01/25  00:57:00,20.4,22.252869557323464,20.445535271848588,22.339999999999996 
 01/25  00:58:00,20.4,22.252869557323752,20.44553527184875,22.339999999999996 
 01/25  00:59:00,20.4,22.252869557324004,20.445535271848886,22.339999999999996 
 01/25  01:00:00,20.4,22.25286955732423,20.445535271848993,22.339999999999996 
 01/25  01:01:00,20.4,22.25286955732445,20.44553527184908,22.34 
 01/25  01:02:00,20.4,22.252869557324665,20.44553527184916,22.34 
 01/25  01:03:00,20.4,22.252869557324882,20.445535271849216,22.34 
 01/25  01:04:00,20.4,22.252869557325102,20.445535271849245,22.339999999999996 
 01/25  01:05:00,20.4,22.252869557325315,20.44553527184925,22.339999999999996 
 01/25  01:06:00,20.4,22.252869557325507,20.445535271849227,22.34 
 01/25  01:07:00,20.4,22.252869557325667,20.44553527184919,22.34 
 01/25  01:08:00,20.4,22.252869557325766,20.445535271849145,22.34 
