Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),THERMAL ZONE 1 THERMAL ZONE:Zone Mean Air Temperature [C](TimeStep) 
 01/25  05:02:00,20.4,19.30583367086007 
 01/25  05:03:00,20.4,19.30583367086016 
 01/25  05:04:00,20.4,19.305833670860275 
 01/25  05:05:00,20.4,19.305833670860414 
 01/25  05:06:00,20.4,19.305833670860577 
 01/25  05:07:00,20.4,19.30583367086076 
 01/25  05:08:00,20.4,19.305833670860975 
 01/25  05:09:00,20.4,19.305833670861217 
 01/25  05:10:00,20.4,19.305833670861497 
 01/25  05:11:00,20.4,19.30583367086182 
 01/25  05:12:00,20.4,19.30583367086218 
 01/25  05:13:00,20.4,19.30583367086258 
 01/25  05:14:00,20.4,19.305833670863014 
 01/25  05:15:00,20.4,19.305833670863487 
 01/25  05:16:00,20.4,19.305833670864 
 01/25  05:17:00,20.4,19.30583367086455 
 01/25  05:18:00,20.4,19.305833670865146 
 01/25  05:19:00,20.4,19.30583367086578 
 01/25  05:20:00,20.4,19.30583367086645 
 01/25  05:21:00,20.4,19.305833670867146 
 01/25  05:22:00,20.4,19.305833670867857 
 01/25  05:23:00,20.4,19.30583367086857 
 01/25  05:24:00,20.4,19.305833670869278 
 01/25  05:25:00,20.4,19.305833670869963 
 01/25  05:26:00,20.4,19.305833670870624 
 01/25  05:27:00,20.4,19.305833670871249 
 01/25  05:28:00,20.4,19.30583367087183 
 01/25  05:29:00,20.4,19.305833670872376 
 01/25  05:30:00,20.4,19.30583367087288 
 01/25  05:31:00,20.4,19.305833670873349 
 01/25  05:32:00,20.4,19.305833670873779 
 01/25  05:33:00,20.4,19.305833670874173 
 01/25  05:34:00,20.4,19.305833670874539 
 01/25  05:35:00,20.4,19.305833670874873 
 01/25  05:36:00,20.4,19.305833670875179 
 01/25  05:37:00,20.4,19.305833670875456 
 01/25  05:38:00,20.4,19.305833670875705 
 01/25  05:39:00,20.4,19.30583367087593 
 01/25  05:40:00,20.4,19.305833670876134 
 01/25  05:41:00,20.4,19.30583367087631 
 01/25  05:42:00,20.4,19.30583367087647 
 01/25  05:43:00,20.4,19.305833670876625 
 01/25  05:44:00,20.4,19.30583367087678 
 01/25  05:45:00,20.4,19.305833670876944 
 01/25  05:46:00,20.4,19.305833670877118 
 01/25  05:47:00,20.4,19.305833670877303 
 01/25  05:48:00,20.4,19.30583367087749 
 01/25  05:49:00,20.4,19.305833670877683 
 01/25  05:50:00,20.4,19.30583367087788 
 01/25  05:51:00,20.4,19.305833670878078 
 01/25  05:52:00,20.4,19.305833670878273 
 01/25  05:53:00,20.4,19.305833670878469 
 01/25  05:54:00,20.4,19.305833670878653 
 01/25  05:55:00,20.4,19.30583367087883 
 01/25  05:56:00,20.4,19.305833670878998 
 01/25  05:57:00,20.4,19.305833670879147 
 01/25  05:58:00,20.4,19.30583367087927 
 01/25  05:59:00,20.4,19.305833670879374 
 01/25  06:00:00,20.4,19.305833670879456 
 01/25  06:01:00,20.4,19.305833670879524 
 01/25  06:02:00,20.4,19.30583367087958 
 01/25  06:03:00,20.4,19.305833670879634 
 01/25  06:04:00,20.4,19.305833670879687 
 01/25  06:05:00,20.4,19.305833670879744 
 01/25  06:06:00,20.4,19.3058336708798 
 01/25  06:07:00,20.4,19.305833670879854 
 01/25  06:08:00,20.4,19.3058336708799 
 01/25  06:09:00,20.4,19.305833670879939 
 01/25  06:10:00,20.4,19.30583367087997 
 01/25  06:11:00,20.4,19.30583367087999 
 01/25  06:12:00,20.4,19.30583367088 
 01/25  06:13:00,20.4,19.305833670879986 
 01/25  06:14:00,20.4,19.30583367087995 
 01/25  06:15:00,20.4,19.305833670879886 
 01/25  06:16:00,20.4,19.3058336708798 
 01/25  06:17:00,20.4,19.3058336708797 
 01/25  06:18:00,20.4,19.305833670879588 
 01/25  06:19:00,20.4,19.30583367087945 
 01/25  06:20:00,20.4,19.305833670879289 
 01/25  06:21:00,20.4,19.3058336708791 
 01/25  06:22:00,20.4,19.30583367087889 
