Date/Time,EMS:Temperatura Habitacion [C](TimeStep),EMS:Temperatura exterior [C](TimeStep),M_SC:Surface Inside Face Temperature [C](TimeStep),M_SC:Surface Outside Face Temperature [C](TimeStep),M_SC:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](TimeStep),M_SC:Surface Inside Face Convection Heat Gain Rate [W](TimeStep),M_SC:Surface Inside Face Conduction Heat Transfer Rate [W](TimeStep),H_M2:Surface Inside Face Temperature [C](TimeStep),H_M2:Surface Outside Face Temperature [C](TimeStep),H_M2:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](TimeStep),H_M2:Surface Inside Face Convection Heat Gain Rate [W](TimeStep),H_M2:Surface Inside Face Conduction Heat Transfer Rate [W](TimeStep),M_SC2:Surface Inside Face Temperature [C](TimeStep),M_SC2:Surface Outside Face Temperature [C](TimeStep),M_SC2:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](TimeStep),M_SC2:Surface Inside Face Convection Heat Gain Rate [W](TimeStep),M_SC2:Surface Inside Face Conduction Heat Transfer Rate [W](TimeStep),TZ_CLIMA:Zone Mean Air Temperature [C](TimeStep),TZ_GUARDA:Zone Mean Air Temperature [C](TimeStep),TZ_HABITACION:Zone Mean Air Temperature [C](TimeStep) 
 02/01  16:22:00,21.798354299977008,28.5,28.54208918488721,21.970861927130739,13.0,3.4449985694297209,-8.684773538818403,21.62919380852701,21.629210560076609,6.6,5.1089174985762269,0.5326196661363138,21.970861927130739,28.54208918488721,6.6,-5.2100063522461259,10.11216523393217,28.500414360324489,21.798353832675379,21.79877691897596 
 02/01  16:23:00,21.79877691897596,28.5,28.469350509726327,21.97119841101654,13.0,1.8479263443834722,-7.845215400856844,21.630574494903525,21.63059088241585,6.6,5.0799823308661049,0.2887220817337148,21.97119841101654,28.469350509726327,6.6,-5.2074049340128,10.094534665684082,28.500000819582195,21.79877647064527,21.799280475387226 
 02/01  16:24:00,21.799280475387226,28.5,28.464276320095796,21.97140413619972,13.0,2.1251790254469036,-8.045243665463019,21.63126932388325,21.631286829435358,6.6,5.074205593262467,0.568809506646394,21.97140413619972,28.464276320095796,6.6,-5.198409954394661,10.078614446512982,28.50000000066582,21.79927994051192,21.799818665957117 
 02/01  16:25:00,21.799818665957117,28.5,28.460083429834179,21.971622019428297,13.0,2.3745569656327865,-8.18433850534471,21.631964432580415,21.6319807764571,6.6,5.0694664147497809,0.51583985134041,21.971622019428297,28.460083429834179,6.6,-5.188736160195191,10.062132783502355,28.50000000000011,21.79981809499484,21.80034654717444 
 02/01  16:26:00,21.80034654717444,28.5,28.456497660275294,21.971829912498725,13.0,2.5878671855499326,-8.289860004320321,21.63265762363564,21.632675092379484,6.6,5.0644737931493479,0.5676714622659056,21.971829912498725,28.456497660275294,6.6,-5.179072006177922,10.045513544107516,28.499999999999998,21.800345987883046,21.80084890656787 
 02/01  16:27:00,21.80084890656787,28.5,28.45336605899073,21.972019859438765,13.0,2.7741598827591624,-8.374661552550489,21.633351102200167,21.63336748455736,6.6,5.058701688391703,0.5181359469619274,21.972019859438765,28.45336605899073,6.6,-5.169636650225518,10.02888819747929,28.499999999999994,21.800848375061987,21.801328007769166 
 02/01  16:28:00,21.801328007769166,28.5,28.45056604764552,21.972193352485314,13.0,2.9407269576628969,-8.445234748619141,21.634042616087816,21.63406004954013,6.6,5.052286485403465,0.5666259035451949,21.972193352485314,28.45056604764552,6.6,-5.160406794979218,10.012232523904507,28.499999999999998,21.80132750162272,21.801790164693857 
 02/01  16:29:00,21.801790164693857,28.5,28.448458128598248,21.972295724828567,13.0,3.06612284594726,-8.510993151157685,21.634505300223183,21.63452266734933,6.6,5.052270562797486,0.6401691880275904,21.972295724828567,28.448458128598248,6.6,-5.1495407249644729,9.996228548015996,28.499999999999998,21.801789676543998,21.802212902482738 
 02/01  16:30:00,21.802212902482738,28.5,28.445765679487104,21.97242797942162,13.0,3.2262912586710188,-8.557825790567016,21.635196563143674,21.635213165105868,6.6,5.0441606741826698,0.5288854615266392,21.97242797942162,28.445765679487104,6.6,-5.14076766767741,9.979447432364994,28.499999999999998,21.802212457106888,21.802616023579135 
 02/01  16:31:00,21.802616023579135,28.5,28.44392670062528,21.97248881107637,13.0,3.3356884332031417,-8.608631753785378,21.63565835042215,21.63567491116014,6.6,5.042388861617927,0.6035653534814119,21.97248881107637,28.44392670062528,6.6,-5.130429978876552,9.963351206055524,28.5,21.802615599033929,21.80298845376714 
 02/01  16:32:00,21.80298845376714,28.3,28.441973547626277,21.97252688366731,13.0,3.451877598808103,-8.650285727661407,21.636119870821945,21.636136409595986,6.6,5.039698194677609,0.6026470509396313,21.97252688366731,28.441973547626277,6.6,-5.120331844473023,9.947171069879799,28.301671165885709,21.802988062066736,21.803325006100324 
 02/01  16:33:00,21.803325006100324,28.3,28.299155488021034,21.972766240202696,13.0,0.14965264481380576,-6.913661326881361,21.637480494988595,21.63749671895854,6.6,5.008769586791989,0.28793403275650789,21.972766240202696,28.299155488021034,6.6,-5.117396375866201,9.928147792981724,28.30000620103599,21.80332465443795,21.803737335270556 
 02/01  16:34:00,21.803737335270556,28.3,28.28993757309891,21.97293745549116,13.0,0.598962538721046,-7.243388288740121,21.63839012781953,21.63840614981816,6.6,4.993750220552848,0.4293306166800176,21.97293745549116,28.28993757309891,6.6,-5.110114350854625,9.910346545463288,28.30000001079243,21.80373690459062,21.80421980646984 
 02/01  16:35:00,21.80421980646984,28.3,28.28396187901659,21.97309047487541,13.0,0.9540763830811707,-7.4815015954666,21.639072644866823,21.639089803619766,6.6,4.987708515869662,0.5570504386452085,21.97309047487541,28.28396187901659,6.6,-5.100164378917691,9.892829468365945,28.300000000005345,21.80421930280402,21.804714826554706 
 02/01  16:36:00,21.804714826554706,28.3,28.278800505429339,21.973250564282404,13.0,1.2611155333374518,-7.651729227463529,21.639755388941837,21.639771399006294,6.6,4.982038951008802,0.5046933741380708,21.973250564282404,28.278800505429339,6.6,-5.090048936556841,9.87525141302126,28.300000000000009,21.80471431052914,21.805191518220274 
 02/01  16:37:00,21.805191518220274,28.3,28.2744103434204,21.973401983446576,13.0,1.522277490607753,-7.783767503059222,21.64043611114138,21.64045323469761,6.6,4.975876902433889,0.5560422808500444,21.973401983446576,28.2744103434204,6.6,-5.080225186578685,9.85783891154177,28.299999999999998,21.80519102205631,21.805645182731135 
