Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),THERMAL ZONE 1 THERMAL ZONE:Zone Mean Air Temperature [C](TimeStep) 
 01/25  04:13:00,20.4,20.401299818959963 
 01/25  04:14:00,20.4,20.401299818960307 
 01/25  04:15:00,20.4,20.401299818960656 
 01/25  04:16:00,20.4,20.401299818961007 
 01/25  04:17:00,20.4,20.40129981896134 
 01/25  04:18:00,20.4,20.401299818961647 
 01/25  04:19:00,20.4,20.40129981896191 
 01/25  04:20:00,20.4,20.40129981896212 
 01/25  04:21:00,20.4,20.401299818962265 
 01/25  04:22:00,20.4,20.401299818962347 
 01/25  04:23:00,20.4,20.401299818962368 
 01/25  04:24:00,20.4,20.401299818962332 
 01/25  04:25:00,20.4,20.401299818962258 
 01/25  04:26:00,20.4,20.40129981896214 
 01/25  04:27:00,20.4,20.401299818961995 
 01/25  04:28:00,20.4,20.401299818961828 
 01/25  04:29:00,20.4,20.401299818961633 
 01/25  04:30:00,20.4,20.401299818961412 
 01/25  04:31:00,20.4,20.40129981896117 
 01/25  04:32:00,20.4,20.4012998189609 
 01/25  04:33:00,20.4,20.401299818960595 
 01/25  04:34:00,20.4,20.40129981896025 
 01/25  04:35:00,20.4,20.40129981895986 
 01/25  04:36:00,20.4,20.40129981895943 
 01/25  04:37:00,20.4,20.401299818958954 
 01/25  04:38:00,20.4,20.40129981895843 
 01/25  04:39:00,20.4,20.401299818957867 
 01/25  04:40:00,20.4,20.40129981895726 
 01/25  04:41:00,20.4,20.401299818956613 
 01/25  04:42:00,20.4,20.401299818955923 
 01/25  04:43:00,20.4,20.4012998189552 
 01/25  04:44:00,20.4,20.401299818954435 
 01/25  04:45:00,20.4,20.401299818953632 
 01/25  04:46:00,20.4,20.4012998189528 
 01/25  04:47:00,20.4,20.40129981895196 
 01/25  04:48:00,20.4,20.40129981895112 
 01/25  04:49:00,20.4,20.401299818950285 
 01/25  04:50:00,20.4,20.40129981894946 
 01/25  04:51:00,20.4,20.40129981894865 
 01/25  04:52:00,20.4,20.401299818947866 
 01/25  04:53:00,20.4,20.401299818947106 
 01/25  04:54:00,20.4,20.40129981894637 
 01/25  04:55:00,20.4,20.401299818945667 
 01/25  04:56:00,20.4,20.401299818945002 
 01/25  04:57:00,20.4,20.40129981894438 
 01/25  04:58:00,20.4,20.401299818943816 
 01/25  04:59:00,20.4,20.401299818943308 
 01/25  05:00:00,20.4,20.401299818942856 
 01/25  05:01:00,20.4,20.401299818942466 
 01/25  05:02:00,20.4,20.401299818942142 
 01/25  05:03:00,20.4,20.40129981894188 
 01/25  05:04:00,20.4,20.40129981894167 
 01/25  05:05:00,20.4,20.40129981894151 
 01/25  05:06:00,20.4,20.401299818941396 
 01/25  05:07:00,20.4,20.401299818941318 
 01/25  05:08:00,20.4,20.40129981894127 
 01/25  05:09:00,20.4,20.40129981894124 
 01/25  05:10:00,20.4,20.401299818941236 
 01/25  05:11:00,20.4,20.40129981894125 
 01/25  05:12:00,20.4,20.401299818941286 
 01/25  05:13:00,20.4,20.401299818941347 
 01/25  05:14:00,20.4,20.401299818941435 
 01/25  05:15:00,20.4,20.40129981894156 
 01/25  05:16:00,20.4,20.40129981894173 
 01/25  05:17:00,20.4,20.40129981894195 
 01/25  05:18:00,20.4,20.401299818942217 
 01/25  05:19:00,20.4,20.401299818942537 
 01/25  05:20:00,20.4,20.40129981894291 
 01/25  05:21:00,20.4,20.401299818943322 
 01/25  05:22:00,20.4,20.401299818943762 
 01/25  05:23:00,20.4,20.401299818944228 
 01/25  05:24:00,20.4,20.401299818944704 
 01/25  05:25:00,20.4,20.401299818945173 
 01/25  05:26:00,20.4,20.40129981894564 
 01/25  05:27:00,20.4,20.40129981894609 
 01/25  05:28:00,20.4,20.401299818946526 
 01/25  05:29:00,20.4,20.401299818946942 
 01/25  05:30:00,20.4,20.40129981894733 
 01/25  05:31:00,20.4,20.40129981894769 
 01/25  05:32:00,20.4,20.40129981894804 
 01/25  05:33:00,20.4,20.401299818948377 
 01/25  05:34:00,20.4,20.401299818948704 
 01/25  05:35:00,20.4,20.401299818949024 
 01/25  05:36:00,20.4,20.40129981894933 
 01/25  05:37:00,20.4,20.401299818949628 
 01/25  05:38:00,20.4,20.401299818949912 
 01/25  05:39:00,20.4,20.401299818950182 
 01/25  05:40:00,20.4,20.401299818950438 
 01/25  05:41:00,20.4,20.401299818950687 
 01/25  05:42:00,20.4,20.401299818950925 
 01/25  05:43:00,20.4,20.401299818951156 
 01/25  05:44:00,20.4,20.40129981895138 
 01/25  05:45:00,20.4,20.4012998189516 
 01/25  05:46:00,20.4,20.401299818951813 
 01/25  05:47:00,20.4,20.401299818952022 
 01/25  05:48:00,20.4,20.40129981895223 
 01/25  05:49:00,20.4,20.401299818952428 
 01/25  05:50:00,20.4,20.40129981895262 
 01/25  05:51:00,20.4,20.4012998189528 
 01/25  05:52:00,20.4,20.40129981895297 
 01/25  05:53:00,20.4,20.401299818953127 
 01/25  05:54:00,20.4,20.401299818953262 
 01/25  05:55:00,20.4,20.401299818953373 
 01/25  05:56:00,20.4,20.401299818953447 
 01/25  05:57:00,20.4,20.401299818953483 
 01/25  05:58:00,20.4,20.401299818953483 
 01/25  05:59:00,20.4,20.40129981895345 
 01/25  06:00:00,20.4,20.401299818953397 
 01/25  06:01:00,20.4,20.401299818953333 
 01/25  06:02:00,20.4,20.401299818953277 
 01/25  06:03:00,20.4,20.401299818953238 
 01/25  06:04:00,20.4,20.401299818953227 
 01/25  06:05:00,20.4,20.401299818953248 
 01/25  06:06:00,20.4,20.401299818953298 
 01/25  06:07:00,20.4,20.401299818953383 
 01/25  06:08:00,20.4,20.401299818953504 
 01/25  06:09:00,20.4,20.401299818953653 
 01/25  06:10:00,20.4,20.40129981895383 
 01/25  06:11:00,20.4,20.401299818954037 
 01/25  06:12:00,20.4,20.40129981895427 
 01/25  06:13:00,20.4,20.401299818954527 
 01/25  06:14:00,20.4,20.4012998189548 
 01/25  06:15:00,20.4,20.401299818955096 
 01/25  06:16:00,20.4,20.401299818955415 
 01/25  06:17:00,20.4,20.401299818955767 
 01/25  06:18:00,20.4,20.40129981895615 
 01/25  06:19:00,20.4,20.401299818956574 
 01/25  06:20:00,20.4,20.40129981895703 
 01/25  06:21:00,20.4,20.401299818957508 
 01/25  06:22:00,20.4,20.401299818958 
 01/25  06:23:00,20.4,20.401299818958496 
 01/25  06:24:00,20.4,20.401299818958975 
 01/25  06:25:00,20.4,20.40129981895943 
 01/25  06:26:00,20.4,20.401299818959863 
 01/25  06:27:00,20.4,20.401299818960272 
 01/25  06:28:00,20.4,20.401299818960663 
 01/25  06:29:00,20.4,20.401299818961043 
 01/25  06:30:00,20.4,20.40129981896142 
 01/25  06:31:00,20.4,20.401299818961803 
 01/25  06:32:00,20.4,20.401299818962197 
 01/25  06:33:00,20.4,20.40129981896261 
 01/25  06:34:00,20.4,20.401299818963043 
 01/25  06:35:00,20.4,20.401299818963498 
 01/25  06:36:00,20.4,20.401299818963974 
 01/25  06:37:00,20.4,20.401299818964464 
 01/25  06:38:00,20.4,20.401299818964972 
 01/25  06:39:00,20.4,20.401299818965498 
 01/25  06:40:00,20.4,20.401299818966045 
 01/25  06:41:00,20.4,20.40129981896661 
 01/25  06:42:00,20.4,20.401299818967196 
 01/25  06:43:00,20.4,20.401299818967807 
 01/25  06:44:00,20.4,20.401299818968447 
 01/25  06:45:00,20.4,20.401299818969115 
