Date/Time,EMS:Temperatura Habitacion [C](TimeStep),EMS:Temperatura exterior [C](TimeStep),M_SC:Surface Inside Face Temperature [C](TimeStep),M_SC:Surface Outside Face Temperature [C](TimeStep),M_SC:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](TimeStep),M_SC:Surface Inside Face Convection Heat Gain Rate [W](TimeStep),M_SC:Surface Inside Face Conduction Heat Transfer Rate [W](TimeStep),H_M2:Surface Inside Face Temperature [C](TimeStep),H_M2:Surface Outside Face Temperature [C](TimeStep),H_M2:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](TimeStep),H_M2:Surface Inside Face Convection Heat Gain Rate [W](TimeStep),H_M2:Surface Inside Face Conduction Heat Transfer Rate [W](TimeStep),M_SC2:Surface Inside Face Temperature [C](TimeStep),M_SC2:Surface Outside Face Temperature [C](TimeStep),M_SC2:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](TimeStep),M_SC2:Surface Inside Face Convection Heat Gain Rate [W](TimeStep),M_SC2:Surface Inside Face Conduction Heat Transfer Rate [W](TimeStep),TZ_CLIMA:Zone Mean Air Temperature [C](TimeStep),TZ_GUARDA:Zone Mean Air Temperature [C](TimeStep),TZ_HABITACION:Zone Mean Air Temperature [C](TimeStep) 
 01/25  08:38:00,21.86354778568516,20.4,20.433450397876898,21.797993631606834,13.0,-1.9898972689008994,1.989865598952342,21.928459596993009,21.92843887846114,6.6,-1.960440560395101,-0.9269552891788918,21.797993631606834,20.433450397876898,6.6,1.9798403398120169,-1.9811640879922517,20.4,21.863547792909633,21.86348723500548 
 01/25  08:39:00,21.86348723500548,20.4,20.43344901394878,21.797935793067887,13.0,-1.9898149417851812,1.9897832731473134,21.928396360688166,21.928375643013547,6.6,-1.9603594502182005,-0.9269169356292842,21.797935793067887,20.43344901394878,6.6,1.9797584288224182,-1.9810821222329643,20.4,21.86348724222938,21.863426686830978 
 01/25  08:40:00,21.863426686830978,20.4,20.433447630077937,21.79787795692202,13.0,-1.9897326180763258,1.9897009507491146,21.928333126999676,21.92831241018217,6.6,-1.960278343398965,-0.9268785879967837,21.79787795692202,20.433447630077937,6.6,1.979676521218382,-1.9810001598605105,20.4,21.863426694054309,21.86336614116157 
 01/25  08:41:00,21.86336614116157,20.4,20.433446246264358,21.79782012316917,13.0,-1.9896502977741216,1.9896186317573235,21.928269895927337,21.928249179967,6.6,-1.9601972399337465,-0.9268402379160763,21.79782012316917,20.433446246264358,6.6,1.9795946169992645,-1.9809182008744027,20.400000000000003,21.863366148384328,21.863305597997159 
 01/25  08:42:00,21.863305597997159,20.4,20.433444862508048,21.797762291809275,13.0,-1.9895679808785685,1.9895363161719396,21.928206667471128,21.928185952367838,6.6,-1.9601161398250125,-0.9268018932905108,21.797762291809275,20.433444862508048,6.6,1.9795127161639923,-1.980836245274153,20.4,21.863305605219347,21.86324505733766 
 01/25  08:43:00,21.86324505733766,20.4,20.433443478808998,21.797704462842235,13.0,-1.9894856673896667,1.9894540039933857,21.92814344163085,21.92812272738466,6.6,-1.9600350430692227,-0.9267635462916516,21.797704462842235,20.433443478808998,6.6,1.9794308187131025,-1.980754293060087,20.4,21.86324506455928,21.86318451918298 
 01/25  08:44:00,21.86318451918298,20.4,20.43344209516722,21.79764663626794,13.0,-1.9894033573076274,1.9893716952221497,21.928080218406494,21.928059505017278,6.6,-1.9599539496688443,-0.9267252049539457,21.79764663626794,20.43344209516722,6.6,1.9793489246468093,-1.9806723442331145,20.399999999999996,21.863184526404024,21.863123983533027 
 01/25  08:45:00,21.863123983533027,20.4,20.433440711582727,21.79758881208628,13.0,-1.9893210506335073,1.9892893898587192,21.92801699779785,21.927996285265665,6.6,-1.9598728596205513,-0.9266868611805186,21.79758881208628,20.433440711582727,6.6,1.979267033966078,-1.9805903987944389,20.4,21.8631239907535,21.86306345038769 
 01/25  08:46:00,21.86306345038769,20.4,20.433439328055525,21.7975309902971,13.0,-1.9892387473670954,1.9892070879034192,21.927953779804907,21.927933068129627,6.6,-1.9597917729270265,-0.9266485227404993,21.7975309902971,20.433439328055525,6.6,1.9791851466718756,-1.9805084567455234,20.399999999999996,21.863063457607589,21.86300291974687 
 01/25  08:47:00,21.86300291974687,20.4,20.433437944585614,21.797473170900284,13.0,-1.9891564475092365,1.9891247893566076,21.927890564427466,21.927869853609143,6.6,-1.9597106895854797,-0.9266101820718106,21.797473170900284,20.433437944585614,6.6,1.9791032627650589,-1.9804265180869206,20.4,21.863002926966204,21.86294239161046 
